Codice|CAM|Tipologia / Famiglia|Capitolo|Voce|Articolo|Unità di misura|Prezzo senza S. G.|Prezzo|Utili di impresa|Spese generali|Di cui oneri di sicurezza afferenti l'impresa|Di cui oneri di sicurezza afferenti l'impresa %|Incidenza Manodopera indiretta sul totale|Manodopera|Incidenza Manodopera diretta sul totale|Manodopera|Incidenza Oneri di sicurezza sul totale|Scostamento % senza S. G.2025|Scostamento % su anno 2025
"CAM26_C09.010.010.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Gruppo attacco per motopompa VV.F"|"Gruppo attacco per motopompa con valvola di intercettazione con attacco VV.F.  completo di: a) valvola di intercettazione in ottone; b) valvola di non ritorno in ottone; c) valvola di sicurezza in ottone; d) valvola di intercettazione con attacco VV.F. . Attacco motopompa VV.F. con innesto di alimentazione da 4''"|"cad"|"375.09237"|"482.74"|"43.88581"|"63.76570"|"3.18829"|"5,00"|"7,97"|"38.48700"|"7,97"|"38.48700"|"0,66"|""|""
"CAM26_C09.010.010.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Gruppo attacco per motopompa VV.F"|"Gruppo attacco per motopompa con valvola di intercettazione con attacco VV.F.  completo di: a) valvola di intercettazione in ottone; b) valvola di non ritorno in ottone; c) valvola di sicurezza in ottone; d) valvola di intercettazione con attacco VV.F. . Attacco motopompa VV.F. con innesto di alimentazione da 3''"|"cad"|"255.87728"|"329.31"|"29.93764"|"43.49914"|"2.17496"|"5,00"|"9,77"|"32.16750"|"9,77"|"32.16750"|"0,66"|""|""
"CAM26_C09.010.010.C"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Gruppo attacco per motopompa VV.F"|"Gruppo attacco per motopompa con valvola di intercettazione con attacco VV.F.  completo di: a) valvola di intercettazione in ottone; b) valvola di non ritorno in ottone; c) valvola di sicurezza in ottone; d) valvola di intercettazione con attacco VV.F. . Attacco motopompa VV.F. con innesto di alimentazione da 2.1/2''"|"cad"|"160.69594"|"206.82"|"18.80143"|"27.31831"|"1.36592"|"5,00"|"12,42"|"25.67700"|"12,42"|"25.67700"|"0,66"|""|""
"CAM26_C09.010.010.D"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Gruppo attacco per motopompa VV.F"|"Gruppo attacco per motopompa con valvola di intercettazione con attacco VV.F.  completo di: a) valvola di intercettazione in ottone; b) valvola di non ritorno in ottone; c) valvola di sicurezza in ottone; d) valvola di intercettazione con attacco VV.F. . Attacco motopompa VV.F. con innesto di alimentazione da 2''"|"cad"|"111.09535"|"142.98"|"12.99816"|"18.88621"|"0.94431"|"5,00"|"14,39"|"20.58150"|"14,39"|"20.58150"|"0,66"|""|""
"CAM26_C09.010.020.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro  per interventi di emergenza e serratura, di dimensioni 630x370x180 mm per UNI 45  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 45 e manichetta da 15 m"|"cad"|"134.10211"|"172.59"|"15.68995"|"22.79736"|"1.13987"|"5,00"|"15,01"|"25.90500"|"15,01"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro  per interventi di emergenza e serratura, di dimensioni 630x370x180 mm per UNI 45  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso ..UNI 45 e manichetta da 20 m"|"cad"|"149.12924"|"191.93"|"17.44812"|"25.35197"|"1.26760"|"5,00"|"13,50"|"25.90500"|"13,50"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.C"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro  per interventi di emergenza e serratura, di dimensioni 630x370x180 mm per UNI 45  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 45 e manichetta da 25 m"|"cad"|"170.10307"|"218.92"|"19.90206"|"28.91752"|"1.44588"|"5,00"|"11,83"|"25.90500"|"11,83"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.D"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro  per interventi di emergenza e serratura, di dimensioni 630x370x180 mm per UNI 45  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 45 e manichetta da 30 m"|"cad"|"187.67190"|"241.53"|"21.95761"|"31.90422"|"1.59521"|"5,00"|"10,73"|"25.90500"|"10,73"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.E"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro per interventi di emergenza e serratura, di dimensioni 695x450x230 mm per UNI 70,  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 70 e manichetta da 20 m"|"cad"|"220.18116"|"283.37"|"25.76120"|"37.43080"|"1.87154"|"5,00"|"9,14"|"25.90500"|"9,14"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.F"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro per interventi di emergenza e serratura, di dimensioni 695x450x230 mm per UNI 70,  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 70 e manichetta da 25 m"|"cad"|"265.34891"|"341.50"|"31.04582"|"45.10931"|"2.25547"|"5,00"|"7,59"|"25.90500"|"7,59"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.020.G"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da esterno per idranti"|"Cassetta da esterno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in lamiera verniciata vetro per interventi di emergenza e serratura, di dimensioni 695x450x230 mm per UNI 70,  completa di: a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso. UNI 70 e manichetta da 30 m"|"cad"|"286.13767"|"368.26"|"33.47811"|"48.64340"|"2.43217"|"5,00"|"7,03"|"25.90500"|"7,03"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.030.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565x360x150 mm per UNI 45,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie.UNI 45 e manichetta da m 15"|"cad"|"140.67649"|"181.05"|"16.45915"|"23.91500"|"1.19575"|"5,00"|"20,03"|"36.26700"|"20,03"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565x360x150 mm per UNI 45,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie. UNI 45 e manichetta da m 20"|"cad"|"155.21012"|"199.76"|"18.15958"|"26.38572"|"1.31929"|"5,00"|"18,16"|"36.26700"|"18,16"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.C"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565x360x150 mm per UNI 45,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie.UNI 45 e manichetta da m 25"|"cad"|"175.32031"|"225.64"|"20.51248"|"29.80445"|"1.49022"|"5,00"|"16,07"|"36.26700"|"16,07"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.D"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565x360x150 mm per UNI 45,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie. UNI 45 e manichetta da m 30"|"cad"|"192.80278"|"248.14"|"22.55793"|"32.77647"|"1.63882"|"5,00"|"14,62"|"36.26700"|"14,62"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.E"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565 x 360x150 mm per UNI 70,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie.UNI 70 e manichetta da m 20"|"cad"|"224.95425"|"289.52"|"26.31965"|"38.24222"|"1.91211"|"5,00"|"12,53"|"36.26700"|"12,53"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.F"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565 x 360x150 mm per UNI 70,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie. UNI 70 e manichetta da m 25"|"cad"|"267.33372"|"344.06"|"31.27805"|"45.44673"|"2.27234"|"5,00"|"10,54"|"36.26700"|"10,54"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.030.G"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da incasso per idrant"|"Cassetta da incasso per idranti, in lamiera trattata con antiruggine di colore grigio, con portello in alluminio, vetro per interventi di emergenza e serratura, di dimensioni 565 x 360x150 mm per UNI 70,  completa di : a) manichetta nylon gommato, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso.Comprese le opere murarie. UNI 70 e manichetta da m 30"|"cad"|"287.38223"|"369.86"|"33.62372"|"48.85498"|"2.44275"|"5,00"|"9,81"|"36.26700"|"9,81"|"36.26700"|"0,66"|""|""
"CAM26_C09.010.040.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da interno per idranti"|"Cassetta da interno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in alluminio vetro per interventi di emergenza e serratura, di dimensioni 565 x 360x150 mm per UNI 45  completa di : a) manichetta nylon gommato da 20 m, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso."|"cad"|"133.37420"|"171.65"|"15.60478"|"22.67361"|"1.13368"|"5,00"|"15,09"|"25.90500"|"15,09"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.040.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Cassetta da interno per idranti"|"Cassetta da interno per idranti, in lamiera verniciata di colore rosso RAL 3000 con tetto inclinato e feritoie d'aria laterale, con portello in alluminio vetro per interventi di emergenza e serratura, di dimensioni 660x450x230 mm per UNI 70,  completa di : a) manichetta nylon gommato da 20 m, raccordi in ottone e legature a filo plastificato; b) rubinetto idrante in ottone; c) lancia in ottone e rame con ugello fisso."|"cad"|"142.23256"|"183.05"|"16.64121"|"24.17954"|"1.20898"|"5,00"|"14,15"|"25.90500"|"14,15"|"25.90500"|"0,66"|""|""
"CAM26_C09.010.050.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Naspi DN25"|"Naspi antincendio DN 25 UNI EN 671/1 verniciati in rosso, composti da: lancia d'erogazione con valvola; tubo semi-rigido EN 694 con raccordi e bobina di avvolgimento; cassetta da incasso o da parete con portello in alluminio e vetro safe-crash: - con tubo standard  da 20 m"|"cad"|"186.29653"|"239.76"|"21.79669"|"31.67041"|"1.58352"|"5,00"|"6,48"|"15.54300"|"6,48"|"15.54300"|"0,66"|""|""
"CAM26_C09.010.050.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Naspi DN25"|"Naspi antincendio DN 25 UNI EN 671/1 verniciati in rosso, composti da: lancia d'erogazione con valvola; tubo semi-rigido EN 694 con raccordi e bobina di avvolgimento; cassetta da incasso o da parete con portello in alluminio e vetro safe-crash: - con tubo standard  da 25 m"|"cad"|"199.52392"|"256.79"|"23.34430"|"33.91907"|"1.69595"|"5,00"|"6,05"|"15.54300"|"6,05"|"15.54300"|"0,66"|""|""
"CAM26_C09.010.050.C"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Naspi DN25"|"Naspi antincendio DN 25 UNI EN 671/1 verniciati in rosso, composti da: lancia d'erogazione con valvola; tubo semi-rigido EN 694 con raccordi e bobina di avvolgimento; cassetta da incasso o da parete con portello in alluminio e vetro safe-crash: - con tubo standard  da 30 m"|"cad"|"212.75131"|"273.81"|"24.89190"|"36.16772"|"1.80839"|"5,00"|"5,68"|"15.54300"|"5,68"|"15.54300"|"0,66"|""|""
"CAM26_C09.010.070.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Idrante sottosuolo"|"Idrante sottosuolo in ghisa con innesti UNI 45 o UNI 70, pressione di esercizio 16 bar  composto da: a) corpo in ghisa sferoidale; b) organi di manovra interi ed uscita acqua in ottone; c) uscita acqua 2x UNI 45 o 2x UNI 70: d) guarnizioni di tenuta O-RING e serraggio in gomma telata; e) curva di raccordo; f) flange in AQ 42 UNI PN16; restano esclusi gli oneri relativi allo scavo, al rinterro e al materiale drenante.Idrante sottosuolo DN 50 1 UNI 45"|"cad"|"329.95376"|"424.65"|"38.60459"|"56.09214"|"2.80461"|"5,00"|"12,20"|"51.81000"|"12,20"|"51.81000"|"0,66"|""|""
"CAM26_C09.010.070.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Idrante sottosuolo"|"Idrante sottosuolo in ghisa con innesti UNI 45 o UNI 70, pressione di esercizio 16 bar  composto da: a) corpo in ghisa sferoidale; b) organi di manovra interi ed uscita acqua in ottone; c) uscita acqua 2x UNI 45 o 2x UNI 70: d) guarnizioni di tenuta O-RING e serraggio in gomma telata; e) curva di raccordo; f) flange in AQ 42 UNI PN16; restano esclusi gli oneri relativi allo scavo, al rinterro e al materiale drenante. Compresi tutti gli oneri per il montaggio. Idrante sottosuolo DN 70 1 UNI 70"|"cad"|"417.36359"|"537.15"|"48.83154"|"70.95181"|"3.54759"|"5,00"|"13,89"|"74.60640"|"13,89"|"74.60640"|"0,66"|""|""
"CAM26_C09.010.080.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 1 kg, classe 21BC"|"cad"|"29.00362"|"37.33"|"3.39342"|"4.93062"|"0.24653"|"5,00"|"0,66"|"0.24480"|"0,66"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.B"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 1 kg, classe 3A 13BC"|"cad"|"29.16400"|"37.53"|"3.41219"|"4.95788"|"0.24789"|"5,00"|"0,65"|"0.24480"|"0,65"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.C"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 2 kg, classe 21BC"|"cad"|"36.61588"|"47.12"|"4.28406"|"6.22470"|"0.31124"|"5,00"|"0,52"|"0.24480"|"0,52"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.D"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 2 kg, classe 5A 21BC"|"cad"|"37.04769"|"47.68"|"4.33458"|"6.29811"|"0.31491"|"5,00"|"0,51"|"0.24480"|"0,51"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.F"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 4 kg, classe 8A 55BC"|"cad"|"50.39692"|"64.86"|"5.89644"|"8.56748"|"0.42837"|"5,00"|"0,38"|"0.24480"|"0,38"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.G"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 6 kg, classe 113BC"|"cad"|"54.01182"|"69.51"|"6.31938"|"9.18201"|"0.45910"|"5,00"|"0,35"|"0.24480"|"0,35"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.H"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 6 kg, classe 89BC"|"cad"|"50.24887"|"64.67"|"5.87912"|"8.54231"|"0.42712"|"5,00"|"0,38"|"0.24480"|"0,38"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.I"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 6 kg, classe 21A 113BC"|"cad"|"56.33128"|"72.50"|"6.59076"|"9.57632"|"0.47882"|"5,00"|"0,34"|"0.24480"|"0,34"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.J"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 6 kg, classe 13A 89BC"|"cad"|"49.91575"|"64.24"|"5.84014"|"8.48568"|"0.42428"|"5,00"|"0,38"|"0.24480"|"0,38"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.K"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 6 kg, classe 34A 233BC"|"cad"|"52.05015"|"66.99"|"6.08987"|"8.84853"|"0.44243"|"5,00"|"0,37"|"0.24480"|"0,37"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.L"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 9 kg, classe 144BC"|"cad"|"64.74548"|"83.33"|"7.57522"|"11.00673"|"0.55034"|"5,00"|"0,29"|"0.24480"|"0,29"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.M"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 9 kg, classe 34 A 144BC"|"cad"|"67.70649"|"87.14"|"7.92166"|"11.51010"|"0.57551"|"5,00"|"0,28"|"0.24480"|"0,28"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.N"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 9 kg, classe 34 A 233BC"|"cad"|"65.55976"|"84.38"|"7.67049"|"11.14516"|"0.55726"|"5,00"|"0,29"|"0.24480"|"0,29"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.O"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 9 kg, classe 55 A 233BC"|"cad"|"72.11761"|"92.82"|"8.43776"|"12.25999"|"0.61300"|"5,00"|"0,26"|"0.24480"|"0,26"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.P"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 12 kg, classe 183BC"|"cad"|"71.87658"|"92.51"|"8.40956"|"12.21902"|"0.61095"|"5,00"|"0,26"|"0.24480"|"0,26"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.080.Q"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a polvere"|"Estintore a polvere  con valvola a pulsante, valvola di sicurezza a molla e manometro di indicazione di carica e sistema di controllo della pressione tramite valvola di non ritorno. Da 12 kg, classe 43 A 183BC"|"cad"|"74.65253"|"96.08"|"8.73435"|"12.69093"|"0.63455"|"5,00"|"0,25"|"0.24480"|"0,25"|"0.24480"|"0,66"|""|""
"CAM26_C09.010.090.A"|""|"IMPIANTI DI DISTRIBUZIONE FLUIDI - IMPIANTI ANTINCENDIO"|"IMPIANTI ANTINCENDIO MANUALI"|"Estintore a schiuma"|"Estintore a schiuma  omologato secondo le norme vigenti, completo di valvola a pulsante e dispositivo di sicurezza. Da 9 kg, classe 8A 89B"|"cad"|"82.86933"|"106.65"|"9.69571"|"14.08779"|"0.70439"|"5,00"|"0,23"|"0.24480"|"0,23"|"0.24480"|"0,66"|""|""
